id,weight,movieid_id
1,0.5,tt0100029
2,0.5,tt0101420
3,0.5,tt0105217
4,0.5,tt1079372
5,0.5,tt0112255
6,0.5,tt0113533
7,0.5,tt1137996
8,0.5,tt0116861
9,0.5,tt0117223
10,0.5,tt0118589
11,0.5,tt1234541
12,0.5,tt1243974
13,0.5,tt0126388
14,0.5,tt1397514
15,0.5,tt1417592
16,0.5,tt1426352
17,0.5,tt1430607
18,0.5,tt1467304
19,0.5,tt1488163
20,0.5,tt1564585
21,0.5,tt0172184
22,0.5,tt1798603
23,0.5,tt0181947
24,0.5,tt0188504
25,0.5,tt0193524
26,0.5,tt1935929
27,0.5,tt2053425
28,0.5,tt0207374
29,0.5,tt2140423
30,0.5,tt0217788
31,0.5,tt0022002
32,0.5,tt0022718
33,0.5,tt2347134
34,0.5,tt2404233
35,0.5,tt2528814
36,0.5,tt2546038
37,0.5,tt0255819
38,0.5,tt2638144
39,0.5,tt0027664
40,0.5,tt2828996
41,0.5,tt2933474
42,0.5,tt0298296
43,0.5,tt0311361
44,0.5,tt3210686
45,0.5,tt3231054
46,0.5,tt3247714
47,0.5,tt0327210
48,0.5,tt0347791
49,0.5,tt0353324
50,0.5,tt0363828
51,0.5,tt0368578
52,0.5,tt0369226
53,0.5,tt0037635
54,0.5,tt3832914
55,0.5,tt4009460
56,0.5,tt4126340
57,0.5,tt4464394
58,0.5,tt0450827
59,0.5,tt0460780
60,0.5,tt0462244
61,0.5,tt4796122
62,0.5,tt4877122
63,0.5,tt0048992
64,0.5,tt0049363
65,0.5,tt0049949
66,0.5,tt0052969
67,0.5,tt0054462
68,0.5,tt0056048
69,0.5,tt5607028
70,0.5,tt0056405
71,0.5,tt0056415
72,0.5,tt0056600
73,0.5,tt0056905
74,0.5,tt0059037
75,0.5,tt0059043
76,0.5,tt0059749
77,0.5,tt0060420
78,0.5,tt0061549
79,0.5,tt0069995
80,0.5,tt0071647
81,0.5,tt0073043
82,12,tt0073540
83,210.5,tt0073629
84,21.5,tt0073692
85,21,tt0073812
86,3,tt0073906
87,4,tt0074121
88,5.5,tt0074256
89,7,tt0074291
90,4,tt0074483
91,5,tt0074605
92,4,tt0074806
93,45,tt0074860
94,3,tt0074991
95,6.5,tt0075147
96,4.5,tt0075202
97,2,tt0075261
98,3.5,tt0075404
99,12,tt0075610
100,33.5,tt0756683
101,2,tt0075704
102,4,tt0075807
103,6,tt0758746
104,41.5,tt0758774
105,3.5,tt0075936
106,4,tt0760329
107,4,tt0076085
108,2,tt0076172
109,15.5,tt0762111
110,9,tt0762125
111,4,tt0076245
112,3,tt0076360
113,2.5,tt0076451
114,4,tt0765120
115,144.5,tt0765429
116,4,tt0765458
117,41.5,tt0076618
118,27,tt0076723
119,1062,tt0076759
120,4,tt0076843
121,7,tt0770752
122,7.5,tt0077189
123,13,tt0772251
124,18,tt0077280
125,3,tt0077321
126,11.5,tt0077394
127,164.5,tt0077416
128,3.5,tt0077533
129,3.5,tt0077559
130,12.5,tt0077594
131,42.5,tt0077663
132,10.5,tt0077713
133,44.5,tt0077766
134,4,tt0077914
135,7,tt0779982
136,170.5,tt0780536
137,5.5,tt0078062
138,3.5,tt7808620
139,6.5,tt0078163
140,4.5,tt0078350
141,40.5,tt0078480
142,0.5,tt0784972
143,5,tt0078588
144,2,tt0787470
145,24.5,tt0078754
146,451.5,tt0078788
147,6,tt0078856
148,23.5,tt0078869
149,45,tt0078902
150,3,tt0078908
151,0.5,tt0078937
152,0.5,tt0078938
153,3,tt0078950
154,8.5,tt0790628
155,67.5,tt0790636
156,41,tt0790724
157,4.5,tt0079073
158,5,tt0079095
159,26.5,tt0079116
160,11,tt0079239
161,3.5,tt0079240
162,2.5,tt0079285
163,6,tt0079315
164,1.5,tt0079453
165,349.5,tt0079470
166,29.5,tt0795176
167,135.5,tt0079522
168,0.5,tt0795351
169,29,tt0079540
170,41.5,tt0795421
171,81.5,tt0079574
172,3,tt0079576
173,228,tt0796366
174,7,tt0079638
175,4,tt0079679
176,40.5,tt0079714
177,6,tt0079766
178,3,tt0079781
179,3,tt0798722
180,5,tt0079902
181,0.5,tt0079946
182,34,tt0799934
183,1,tt0800022
184,147,tt0800039
185,2.5,tt0800241
186,15,tt0080025
187,30,tt0800320
188,119.5,tt0800369
189,31.5,tt0080120
190,5,tt0080130
191,40.5,tt0080179
192,5,tt0080263
193,20.5,tt0803096
194,27.5,tt0080310
195,6,tt0080354
196,25,tt0080360
197,29.5,tt0080388
198,11,tt0080391
199,3,tt0080421
200,4,tt0080436
201,3.5,tt0804461
202,25.5,tt0804497
203,320,tt0080455
204,6,tt0804555
205,4,tt0080474
206,199,tt0080487
207,10,tt0080516
208,8.5,tt0080539
209,7.5,tt0080556
210,28.5,tt0805564
211,4,tt0080610
212,3,tt0080623
213,889.5,tt0080684
214,30,tt0080716
215,25.5,tt0080745
216,12.5,tt0080749
217,3.5,tt0808146
218,55.5,tt0808151
219,9,tt0080836
220,14,tt0808399
221,5,tt0808508
222,6.5,tt0808510
223,12,tt0080889
224,1.5,tt0080904
225,16.5,tt0080979
226,5,tt0809951
227,3.5,tt0081070
228,3.5,tt0810784
229,2,tt0810900
230,11.5,tt0810913
231,9.5,tt0811080
232,4.5,tt0811106
233,12,tt0081150
234,6.5,tt0081176
235,5,tt0812243
236,3,tt0081259
237,3,tt0081318
238,4.5,tt0008133
239,40.5,tt0081375
240,5.5,tt0081376
241,4,tt0081400
242,6.5,tt0814022
243,16.5,tt0814255
244,4.5,tt0081427
245,4,tt0081445
246,13,tt0081454
247,5,tt0081480
248,445,tt0081505
249,19,tt0815241
250,5,tt0815244
251,21.5,tt0081534
252,18,tt0081554
253,148,tt0081573
254,153,tt0081633
255,291.5,tt0816692
256,57.5,tt0816711
257,0.5,tt0081693
258,11.5,tt0817177
259,8,tt0817230
260,7,tt0817538
261,2,tt0081764
262,8,tt0081874
263,2,tt0081964
264,5,tt0082000
265,7,tt0082009
266,28,tt0082031
267,5.5,tt0082045
268,40,tt0082089
269,168.5,tt0082096
270,27.5,tt0082136
271,7.5,tt0082146
272,7.5,tt0821640
273,7,tt0821642
274,101,tt0082198
275,10,tt0082199
276,5,tt0082250
277,7.5,tt0082252
278,4,tt0822818
279,44,tt0822832
280,24.5,tt0082288
281,134.5,tt0082340
282,4,tt0082353
283,4,tt0082370
284,74.5,tt0082398
285,5,tt0082405
286,17.5,tt0082418
287,2,tt0082427
288,3,tt0082449
289,38,tt0082474
290,26.5,tt0082484
291,12,tt0082495
292,4,tt0082511
293,58,tt0082517
294,14.5,tt0082533
295,4,tt0082558
296,161.5,tt0082694
297,4,tt0082726
298,2.5,tt0827521
299,3.5,tt0082755
300,12.5,tt0082766
301,0.5,tt0082782
302,3.5,tt0828154
303,19.5,tt0082817
304,2,tt0082910
305,14,tt0829150
306,3.5,tt0829459
307,212.5,tt0829482
308,841.5,tt0082971
309,6.5,tt0082979
310,7.5,tt0830558
311,4,tt0830570
312,129,tt0083131
313,34,tt0831387
314,5,tt0831887
315,18.5,tt0831888
316,6,tt0083254
317,4.5,tt0083271
318,7.5,tt0832903
319,4,tt0083318
320,39.5,tt0083511
321,60.5,tt0083530
322,50,tt0083564
323,9,tt0083590
324,14,tt0083630
325,3,tt0083642
326,3,tt0083686
327,7.5,tt0083702
328,43,tt0083767
329,120.5,tt0083791
330,72,tt0838221
331,5.5,tt0838232
332,18.5,tt0083851
333,459.5,tt0083866
334,5.5,tt0083922
335,146,tt0083929
336,13.5,tt0083946
337,3.5,tt0083967
338,29,tt0839980
339,39.5,tt0084021
340,16.5,tt0841046
341,5,tt0084112
342,13.5,tt0084237
343,3.5,tt0084266
344,13.5,tt0084296
345,4.5,tt0084315
346,37.5,tt0084352
347,30.5,tt0084370
348,30.5,tt0084412
349,4,tt0084422
350,51,tt0084434
351,60,tt0844471
352,5,tt0084472
353,4,tt0844794
354,14,tt0845046
355,161,tt0084516
356,13,tt0084589
357,3.5,tt0845955
358,4,tt0084628
359,6,tt0846308
360,73,tt0084649
361,5.5,tt0084695
362,233.5,tt0084726
363,23.5,tt0084745
364,4,tt0084783
365,3,tt0084786
366,9.5,tt0084809
367,6,tt0084814
368,2,tt0848281
369,6,tt0848537
370,8.5,tt0848557
371,42.5,tt0084865
372,3.5,tt0084921
373,3,tt0084938
374,8,tt0085127
375,4.5,tt0085154
376,5,tt0085159
377,3,tt0085204
378,3,tt0085255
379,3.5,tt0085271
380,6.5,tt0853096
381,2.5,tt0085327
382,14,tt0085346
383,15.5,tt0085382
384,4.5,tt0085426
385,3,tt0085461
386,17.5,tt0085474
387,4,tt0085475
388,1.5,tt0085542
389,46,tt0085549
390,4,tt0856288
391,6.5,tt0085636
392,4.5,tt0857191
393,8.5,tt0857265
394,42.5,tt0085809
395,14.5,tt0085811
396,1,tt0085868
397,32.5,tt0085894
398,1,tt0085937
399,158,tt0085959
400,95,tt0085995
401,37.5,tt0086005
402,59.5,tt0086066
403,4,tt0086087
404,7,tt0086129
405,3,tt0086143
406,3.5,tt0861689
407,43,tt0861739
408,144.5,tt0086200
409,2.5,tt0862467
410,13.5,tt0862846
411,2.5,tt0862856
412,5.5,tt0086325
