movieid,title,year,lenght,genres,rate,poster,plot
tt0114709,Toy Story ,1995,,Adventure|Animation|Children|Comedy|Fantasy,,,
tt0113497,Jumanji ,1995,,Adventure|Children|Fantasy,,,
tt0113228,Grumpier Old Men ,1995,,Comedy|Romance,,,
tt0114885,Waiting to Exhale ,1995,,Comedy|Drama|Romance,,,
tt0113041,Father of the Bride Part II ,1995,,Comedy,,,
tt0113277,Heat ,1995,,Action|Crime|Thriller,,,
tt0114319,Sabrina ,1995,,Comedy|Romance,,,
tt0112302,Tom and Huck ,1995,,Adventure|Children,,,
tt0114576,Sudden Death ,1995,,Action,,,
tt0113189,GoldenEye ,1995,,Action|Adventure|Thriller,,,
tt0112346,American President, The ,1995,,Comedy|Drama|Romance,,,
tt0112896,Dracula: Dead and Loving It ,1995,,Comedy|Horror,,,
tt0112453,Balto ,1995,,Adventure|Animation|Children,,,
tt0113987,Nixon ,1995,,Drama,,,
tt0112760,Cutthroat Island ,1995,,Action|Adventure|Romance,,,
tt0112641,Casino ,1995,,Crime|Drama,,,
tt0114388,Sense and Sensibility ,1995,,Drama|Romance,,,
tt0113101,Four Rooms ,1995,,Comedy,,,
tt0112281,Ace Ventura: When Nature Calls ,1995,,Comedy,,,
tt0113845,Money Train ,1995,,Action|Comedy|Crime|Drama|Thriller,,,
tt0113161,Get Shorty ,1995,,Comedy|Crime|Thriller,,,
tt0112722,Copycat ,1995,,Crime|Drama|Horror|Mystery|Thriller,,,
tt0112401,Assassins ,1995,,Action|Crime|Thriller,,,
tt0114168,Powder ,1995,,Drama|Sci-Fi,,,
tt0113627,Leaving Las Vegas ,1995,,Drama|Romance,,,
tt0114057,Othello ,1995,,Drama,,,
tt0114011,Now and Then ,1995,,Children|Drama,,,
tt0114117,Persuasion ,1995,,Drama|Romance,,,
tt0112682,City of Lost Children, The ,Cité des enfants perdus, La ,,Adventure|Drama|Fantasy|Mystery|Sci-Fi,,,
tt0115012,Shanghai Triad ,Yao a yao yao dao waipo qiao ,,Crime|Drama,,,
tt0112792,Dangerous Minds ,1995,,Drama,,,
tt0114746,Twelve Monkeys ,a.k.a. 12 Monkeys ,,Mystery|Sci-Fi|Thriller,,,
tt0112431,Babe ,1995,,Children|Drama,,,
tt0112818,Dead Man Walking ,1995,,Crime|Drama,,,
tt0113442,It Takes Two ,1995,,Children|Comedy,,,
tt0112697,Clueless ,1995,,Comedy|Romance,,,
tt0112749,Cry, the Beloved Country ,1995,,Drama,,,
tt0114279,Richard III ,1995,,Drama|War,,,
tt0112819,Dead Presidents ,1995,,Action|Crime|Drama,,,
tt0114272,Restoration ,1995,,Drama,,,
tt0113855,Mortal Kombat ,1995,,Action|Adventure|Fantasy,,,
tt0114681,To Die For ,1995,,Comedy|Drama|Thriller,,,
tt0113347,How to Make an American Quilt ,1995,,Drama|Romance,,,
tt0114369,Seven ,a.k.a. Se7en ,,Mystery|Thriller,,,
tt0114148,Pocahontas ,1995,,Animation|Children|Drama|Musical|Romance,,,
tt0114916,When Night Is Falling ,1995,,Drama|Romance,,,
tt0114814,Usual Suspects, The ,1995,,Crime|Mystery|Thriller,,,
tt0113819,Mighty Aphrodite ,1995,,Comedy|Drama|Romance,,,
tt0110299,Lamerica ,1994,,Adventure|Drama,,,
tt0112499,Big Green, The ,1995,,Children|Comedy,,,
tt0113158,Georgia ,1995,,Drama,,,
tt0113321,Home for the Holidays ,1995,,Drama,,,
tt0110877,Postman, The ,Postino, Il ,,Comedy|Drama|Romance,,,
tt0113419,Indian in the Cupboard, The ,1995,,Adventure|Children|Fantasy,,,
tt0116260,Eye for an Eye ,1996,,Drama|Thriller,,,
tt0113862,Mr. Holland's Opus ,1995,,Drama,,,
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,,Comedy|Crime,,,
tt0118002,Two if by Sea ,1996,,Comedy|Romance,,,
tt0115683,Bio-Dome ,1996,,Comedy,,,
tt0116839,Lawnmower Man 2: Beyond Cyberspace ,1996,,Action|Sci-Fi|Thriller,,,
tt0113149,French Twist ,Gazon maudit ,,Comedy|Romance,,,
tt0113118,Friday ,1995,,Comedy,,,
tt0116367,From Dusk Till Dawn ,1996,,Action|Comedy|Horror|Thriller,,,
tt0113010,Fair Game ,1995,,Action,,,
tt0113537,Kicking and Screaming ,1995,,Comedy|Drama,,,
tt0113828,Misérables, Les ,1995,,Drama|War,,,
tt0115644,Bed of Roses ,1996,,Drama|Romance,,,
tt0115676,Big Bully ,1996,,Comedy|Drama,,,
tt0114367,Screamers ,1995,,Action|Sci-Fi|Thriller,,,
tt0113973,Nico Icon ,1995,,Documentary,,,
tt0112744,Crossing Guard, The ,1995,,Action|Crime|Drama|Thriller,,,
tt0116731,Juror, The ,1996,,Drama|Thriller,,,
tt0112445,White Balloon, The ,Badkonake sefid ,,Children|Drama,,,
tt0114660,Things to Do in Denver When You're Dead ,1995,,Crime|Drama|Romance,,,
tt0112379,Antonia's Line ,Antonia ,,Comedy|Drama,,,
tt0114039,Once Upon a Time... When We Were Colored ,1995,,Drama|Romance,,,
tt0112365,Angels and Insects ,1995,,Drama|Romance,,,
tt0118158,White Squall ,1996,,Action|Adventure|Drama,,,
tt0116151,Dunston Checks In ,1996,,Children|Comedy,,,
tt0115697,Black Sheep ,1996,,Comedy,,,
tt0113972,Nick of Time ,1995,,Action|Thriller,,,
tt0117002,Mary Reilly ,1996,,Drama|Horror|Thriller,,,
tt0114825,Vampire in Brooklyn ,1995,,Comedy|Horror|Romance,,,
tt0115639,Beautiful Girls ,1996,,Comedy|Drama|Romance,,,
tt0115759,Broken Arrow ,1996,,Action|Adventure|Thriller,,,
tt0113403,In the Bleak Midwinter ,1995,,Comedy|Drama,,,
tt0113247,Hate ,Haine, La ,,Crime|Drama,,,
tt0113283,Heidi Fleiss: Hollywood Madam ,1995,,Documentary,,,
tt0115907,City Hall ,1996,,Drama|Thriller,,,
tt0115734,Bottle Rocket ,1996,,Adventure|Comedy|Crime|Romance,,,
tt0117102,Mr. Wrong ,1996,,Comedy,,,
tt0118040,Unforgettable ,1996,,Mystery|Sci-Fi|Thriller,,,
tt0116483,Happy Gilmore ,1996,,Comedy,,,
tt0112579,Bridges of Madison County, The ,1995,,Drama|Romance,,,
tt0110251,Nobody Loves Me ,Keiner liebt mich ,,Comedy|Drama,,,
tt0117110,Muppet Treasure Island ,1996,,Adventure|Children|Comedy|Musical,,,
tt0112646,Catwalk ,1996,,Documentary,,,
tt0112573,Braveheart ,1995,,Action|Drama|War,,,
tt0075314,Taxi Driver ,1976,,Crime|Drama|Thriller,,,
tt0113326,Rumble in the Bronx ,Hont faan kui ,,Action|Adventure|Comedy|Crime,,,
tt0115645,Before and After ,1996,,Drama|Mystery,,,
tt0112373,Anne Frank Remembered ,1995,,Documentary,,,
tt0115033,Young Poisoner's Handbook, The ,1995,,Crime|Drama,,,
tt0116606,If Lucy Fell ,1996,,Comedy|Romance,,,
tt0114536,Steal Big, Steal Little ,1995,,Comedy,,,
tt0106473,Boys of St. Vincent, The ,1992,,Drama,,,
tt0103859,Boomerang ,1992,,Comedy|Romance,,,
tt0109424,Chungking Express ,Chung Hing sam lam ,,Drama|Mystery|Romance,,,
tt0116324,Flirting With Disaster ,1996,,Comedy,,,
tt0110647,NeverEnding Story III, The ,1994,,Adventure|Children|Fantasy,,,
tt0110217,Jupiter's Wife ,1994,,Documentary,,,
tt0114131,Pie in the Sky ,1996,,Comedy|Romance,,,
tt0113451,Jade ,1995,,Thriller,,,
tt0116130,Down Periscope ,1996,,Comedy,,,
tt0113756,Man of the Year ,1995,,Documentary,,,
tt0118055,Up Close and Personal ,1996,,Drama|Romance,,,
tt0115685,Birdcage, The ,1996,,Comedy,,,
tt0112585,Brothers McMullen, The ,1995,,Comedy,,,
tt0112442,Bad Boys ,1995,,Action|Comedy|Crime|Drama|Thriller,,,
tt0112342,Amazing Panda Adventure, The ,1995,,Adventure|Children,,,
tt0112461,Basketball Diaries, The ,1995,,Drama,,,
tt0112427,Awfully Big Adventure, An ,1995,,Drama,,,
tt0109093,Amateur ,1994,,Crime|Drama|Thriller,,,
tt0112384,Apollo 13 ,1995,,Adventure|Drama|IMAX,,,
tt0114287,Rob Roy ,1995,,Action|Drama|Romance|War,,,
tt0112288,Addiction, The ,1995,,Drama|Horror,,,
tt0112462,Batman Forever ,1995,,Action|Adventure|Comedy|Crime,,,
tt0061395,Beauty of the Day ,Belle de jour ,,Drama,,,
tt0112495,Beyond Rangoon ,1995,,Adventure|Drama|War,,,
tt0112541,Blue in the Face ,1995,,Comedy|Drama,,,
tt0109370,Canadian Bacon ,1995,,Comedy|War,,,
tt0112642,Casper ,1995,,Adventure|Children,,,
tt0112688,Clockers ,1995,,Crime|Drama|Mystery,,,
tt0112715,Congo ,1995,,Action|Adventure|Mystery|Sci-Fi,,,
tt0112740,Crimson Tide ,1995,,Drama|Thriller|War,,,
tt0109508,Crumb ,1994,,Documentary,,,
tt0112851,Desperado ,1995,,Action|Romance|Western,,,
tt0112857,Devil in a Blue Dress ,1995,,Crime|Film-Noir|Mystery|Thriller,,,
tt0112864,Die Hard: With a Vengeance ,1995,,Action|Crime|Thriller,,,
tt0112887,Doom Generation, The ,1995,,Comedy|Crime|Drama,,,
tt0113071,First Knight ,1995,,Action|Drama|Romance,,,
tt0113114,Free Willy 2: The Adventure Home ,1995,,Adventure|Children|Drama,,,
tt0113243,Hackers ,1995,,Action|Adventure|Crime|Thriller,,,
tt0113464,Jeffrey ,1995,,Comedy|Drama,,,
tt0113481,Johnny Mnemonic ,1995,,Action|Sci-Fi|Thriller,,,
tt0113492,Judge Dredd ,1995,,Action|Crime|Sci-Fi,,,
tt0113500,Jury Duty ,1995,,Comedy,,,
tt0113540,Kids ,1995,,Drama,,,
tt0113677,Living in Oblivion ,1995,,Comedy,,,
tt0113690,Lord of Illusions ,1995,,Horror,,,
tt0107447,Love & Human Remains ,1993,,Comedy|Drama,,,
tt0113729,Mad Love ,1995,,Drama|Romance,,,
tt0113749,Mallrats ,1995,,Comedy|Romance,,,
tt0113820,Mighty Morphin Power Rangers: The Movie ,1995,,Action|Children,,,
tt0110604,Mute Witness ,1994,,Comedy|Horror|Thriller,,,
tt0110620,Nadja ,1994,,Drama,,,
tt0113957,Net, The ,1995,,Action|Crime|Thriller,,,
tt0113986,Nine Months ,1995,,Comedy|Romance,,,
