id,weight,movieid_id,genres
1,0.5,tt0100029,Action
2,4,tt0100046,Drama
3,12.5,tt0100050,Comedy|Romance
4,2,tt0100053,Action|Comedy
5,24,tt0100054,Adventure|Drama|Thriller
6,9,tt1000764,Documentary
7,3.5,tt1000771,Drama
8,26.5,tt1000774,Comedy|Romance
9,3.5,tt0100087,Comedy
10,5,tt0100107,Action|Horror|Thriller
11,7.5,tt0100112,Comedy|Drama|Romance
12,7.5,tt0100114,Action|Drama
13,2,tt0100129,Comedy
14,18.5,tt0100133,Action|Drama|War
15,11,tt0100135,Action|Comedy
16,19,tt0100140,Comedy|Drama|Romance
17,29,tt0100142,Comedy
18,4,tt0100143,Comedy|Crime|Drama
19,84.5,tt0100150,Crime|Drama|Film-Noir|Thriller
20,31,tt1001508,Comedy|Drama|Romance
21,72,tt1001526,Action|Animation|Children|Comedy|Sci-Fi|IMAX
22,169,tt0100157,Drama|Horror|Thriller
23,17,tt0100168,Drama|Musical
24,3,tt0100196,Adventure
25,3,tt0100201,Comedy|Fantasy
26,3.5,tt0100211,Drama
27,35,tt0100212,Comedy
28,6,tt0100232,Action|Adventure|War
29,20,tt0100240,Adventure|Children|Fantasy
30,4,tt0100258,Horror
31,2,tt0100260,Fantasy|Horror
32,142.5,tt0100263,Action|Crime|Romance|Thriller
33,4.5,tt0100280,Comedy|Crime
34,41.5,tt0100318,Mystery|Thriller
35,22.5,tt0100332,Documentary
36,3,tt0100339,Action|Animation|Crime|Drama|Film-Noir|Mystery|Sci-Fi|Thriller
37,2,tt0010040,Comedy|Drama
38,61,tt0100403,Action|Sci-Fi|Thriller
39,19.5,tt0100404,Crime|Drama|Thriller
40,470.5,tt0100405,Comedy|Romance
41,2,tt0100409,Animation|Children
42,19,tt0100419,Children|Comedy
43,32.5,tt0100436,Comedy|Drama
44,3,tt0100438,Horror|Sci-Fi|Thriller
45,25,tt0100449,Comedy|Crime
46,9.5,tt0100475,Comedy
47,35,tt0100477,Adventure|Animation|Children
48,4,tt0100485,Drama|Romance|Thriller
49,22.5,tt0100486,Drama
50,66,tt0100502,Action|Crime|Sci-Fi|Thriller
51,33,tt0100507,Action|Drama
52,4.5,tt0100514,Action|Comedy|Thriller
53,63.5,tt0100519,Comedy|Drama
54,5,tt0100530,Drama|Thriller
55,7,tt0100594,Drama
56,5,tt0100611,Comedy
57,5,tt0100639,Horror
58,5,tt0100663,Horror
59,1.5,tt0100666,Adventure|Comedy|Sci-Fi
60,5.5,tt0100680,Drama|Romance
61,8,tt0100685,Crime|Drama|Thriller
62,74,tt1007028,Comedy|Drama|Romance
63,3,tt1007029,Drama
64,11,tt0100740,Fantasy|Horror|Thriller
65,75,tt0100758,Action|Children|Comedy|Fantasy|Sci-Fi
66,321.5,tt0100802,Action|Adventure|Sci-Fi|Thriller
67,55,tt0100814,Comedy|Horror|Sci-Fi
68,2.5,tt0100828,Drama
69,3,tt0100928,Adventure|Drama
70,3.5,tt0100934,Drama|Romance
71,19,tt0100935,Crime|Drama|Mystery|Romance|Thriller
72,9.5,tt0100944,Children|Fantasy
73,33,tt0100994,Action|Western
74,13,tt0100998,Drama|Fantasy
75,270.5,tt1010048,Crime|Drama|Romance
76,11,tt0101020,Action|Comedy|Crime|Thriller
77,19,tt0101026,Crime|Drama|Romance
78,4,tt0101095,Adventure|Children|Fantasy
79,12,tt0101254,Documentary
80,4.5,tt0101258,Drama|Romance
81,125,tt0101272,Children|Comedy|Fantasy
82,3,tt1012804,Action|Drama
83,10.5,tt0101316,Drama|Romance
84,27,tt0101329,Adventure|Animation|Children|Musical|Western
85,5,tt1013607,Animation|Drama|Fantasy
86,20.5,tt1013743,Action|Comedy|Romance
87,32.5,tt1013752,Action|Crime|Drama|Thriller
88,39,tt1013753,Drama
89,76,tt0101393,Action|Drama
90,56.5,tt0101410,Drama|Thriller
